,word,word_count
0,kan,539
1,danmark,383
2,vores,306
3,dansk,302
4,ved,255
5,folkeparti,189
6,mere,184
7,derfor,160
8,flere,148
9,ældre,142
10,godt,139
11,andre,125
12,sikre,121
13,helt,121
14,regeringen,109
15,sker,103
16,kommer,101
17,får,99
18,danske,96
19,danskerne,91
20,sammen,89
21,forhold,86
22,igen,84
23,dag,82
24,lige,80
25,land,77
26,bare,73
27,sige,71
28,bedre,71
29,andet,70
30,nok,69
31,tilbage,69
32,hele,69
33,både,68
34,fik,67
35,hvordan,67
36,fordi,66
37,penge,65
38,folk,64
39,tage,63
40,måske,62
41,danskere,62
42,blevet,59
43,kun,59
44,tid,58
45,komme,58
46,nye,58
47,politik,58
48,udlændinge,58
49,siden,57
50,socialdemokratiet,56
51,altså,56
52,mennesker,56
53,hjem,55
54,gang,54
55,tryghed,52
56,fået,52
57,sidste,52
58,lidt,52
59,gode,51
60,ingen,51
61,stor,51
62,valget,50
63,store,50
64,samfund,49
65,endnu,49
66,lande,49
67,går,49
68,ser,49
69,frem,49
70,landet,49
71,står,48
72,brug,48
73,ellers,47
74,flygtninge,47
75,netop,47
76,hjælp,46
77,fast,46
78,arbejde,46
79,gerne,46
80,danmarks,44
81,selvfgelig,44
82,langt,44
83,del,43
84,mindre,42
85,stadig,42
86,folketinget,42
87,haft,41
88,eksempelvis,41
89,fste,40
90,uden,40
91,muligt,39
92,folkepartis,39
93,imod,39
94,tidligere,39
95,siger,39
96,måde,39
97,selvom,39
98,mest,39
99,finde,38
100,hvorfor,38
101,ret,38
102,holder,38
103,giver,37
104,tale,37
105,ske,37
106,fremtiden,37
107,kriminelle,37
108,valg,36
109,rundt,36
110,regering,36
111,god,35
112,hver,35
113,allerede,35
114,faktisk,35
115,blandt,35
116,samme,35
117,verden,35
118,rigtig,34
119,ting,34
120,årsme,33
121,stre,33
122,sagde,33
123,handler,33
124,nemlig,33
125,lave,33
126,kommende,32
127,afgende,32
128,synes,32
129,set,32
130,skabe,32
131,grænsekontrol,32
132,lad,31
133,desværre,31
134,mellem,31
135,svært,31
136,igennem,31
137,gælder,31
138,holde,31
139,bla,31
140,krav,30
141,længere,30
142,venstre,30
143,altid,30
144,vort,30
145,ekstra,30
146,udvikling,30
147,nej,30
148,taget,30
149,give,29
150,ældreområdet,29
151,ord,29
152,radikale,29
153,aldrig,29
154,kommet,29
155,grad,29
156,hinanden,29
157,politiske,29
158,gjort,29
159,politisk,29
160,steder,29
161,fælles,29
162,hvem,29
163,aftale,28
164,personer,28
165,stedet,28
166,mens,28
167,kom,28
168,tager,28
169,procent,28
170,skaber,28
171,videre,28
172,landets,28
173,inden,28
174,vigtigt,27
175,plads,27
176,storbritannien,27
177,fst,27
178,seneste,27
179,ansvar,27
180,bedste,27
181,betyder,27
182,klart,27
183,mulighed,26
184,kommunerne,26
185,tror,26
186,husker,26
187,næste,26
188,sagt,26
189,hurtigt,26
190,stort,26
191,viser,26
192,grænser,26
193,ophold,26
194,grundlæggende,25
195,dermed,25
196,samarbejde,25
197,indflydelse,25
198,sikrer,25
199,uanset,25
200,tillid,25
201,fer,25
202,unge,25
203,fællesskab,25
204,bruge,25
205,3337,25
206,vej,24
207,rejse,24
208,naturligvis,24
209,here,24
210,klar,24
211,områder,24
212,parti,24
213,gik,24
214,2015,24
215,hvert,24
216,mette,24
217,eksempel,24
218,christiansborg,24
219,ligesom,24
220,nedslidte,24
221,stå,24
222,kroner,24
223,partier,23
224,mindst,23
225,samtidig,23
226,tak,23
227,energi,23
228,hjælpe,23
229,virker,23
230,trygt,22
231,længe,22
232,asylansere,22
233,udlændingepolitikken,22
234,virkelig,22
235,tiden,22
236,fokus,22
237,fald,22
238,politiet,22
239,kenhavn,22
240,grænsen,22
241,statsminister,22
242,vore,21
243,flertal,21
244,hertil,21
245,briterne,21
246,måtte,21
247,simpelthen,21
248,sætte,21
249,permanent,21
250,slet,21
251,grne,21
252,mener,21
253,indsats,21
254,helle,21
255,sted,20
256,ofte,20
257,grund,20
258,således,20
259,særligt,20
260,taler,20
261,milliarder,20
262,omkring,20
263,præcis,20
264,onomisk,20
265,lade,20
266,ressourcer,19
267,lang,19
268,række,19
269,dage,19
270,udfordringer,19
271,huske,19
272,dengang,19
273,vide,19
274,gennemft,19
275,finansloven,19
276,bruger,19
277,politikere,19
278,styr,19
279,gennem,19
280,indvandrere,19
281,overfor,19
282,migranter,19
283,plejehjem,19
284,tre,19
285,gange,19
286,kommuner,19
287,mål,19
288,blot,19
289,omstilling,19
290,regeringens,19
291,velfærd,19
292,års,19
293,behandling,19
294,co2,19
295,leve,18
296,passe,18
297,bag,18
298,indtil,18
299,færre,18
300,nærmest,18
301,europa,18
302,eneste,18
303,dét,18
304,bestemt,18
305,tvivl,18
306,forslag,18
307,sverige,18
308,offentlige,18
309,bevare,18
310,åbne,18
311,pengene,18
312,thorning-schmidt,18
313,enkelte,17
314,engang,17
315,lavet,17
316,vejen,17
317,fge,17
318,stod,17
319,juni,17
320,givet,17
321,gavn,17
322,fortsat,17
323,tænker,17
324,frederiksen,17
325,generationer,17
326,værdier,17
327,sende,17
328,lninger,17
329,enkelt,17
330,nogen,17
331,finanslov,17
332,ude,17
333,forbindelse,17
334,værdig,16
335,bor,16
336,især,16
337,heller,16
338,2016,16
339,sket,16
340,klima,16
341,ender,16
342,reelt,16
343,venner,16
344,kristian,16
345,kære,16
346,par,16
347,anderledes,16
348,valgkampen,16
349,fremover,16
350,samlet,16
351,råd,16
352,opbakning,16
353,morten,16
354,sundhedsvæsen,16
355,kender,16
356,alene,16
357,problemer,16
358,vel,16
359,landbrug,16
360,herning,16
361,spgsmål,16
362,året,16
363,ganske,16
364,tiltag,16
365,eget,15
366,liv,15
367,ældrepleje,15
368,lov,15
369,tæt,15
370,2019,15
371,velkommen,15
372,såkaldte,15
373,vende,15
374,peter,15
375,danskernes,15
376,adgang,15
377,spge,15
378,dele,15
379,stste,15
380,fire,15
381,rigtige,15
382,politi,15
383,nyt,15
384,glade,15
385,historie,15
386,virksomheder,15
387,hygge,15
388,brugt,15
389,vilkår,14
390,arbejder,14
391,regler,14
392,kort,14
393,aftaler,14
394,sagen,14
395,klare,14
396,håber,14
397,frit,14
398,september,14
399,side,14
400,ordentlig,14
401,klimaet,14
402,tingene,14
403,2018,14
404,udviklingen,14
405,situation,14
406,lever,14
407,betale,14
408,udsatte,14
409,jeres,14
410,arbejdspladser,14
411,tal,14
