word,word_count,rank
at,2325,1
i,2172,2
og,2022,3
det,1850,4
er,1727,5
vi,1561,6
for,1268,7
til,1260,8
der,1027,9
en,929,10
på,923,11
de,860,12
af,852,13
har,828,14
ikke,754,15
med,732,16
skal,731,17
som,672,18
så,658,19
om,580,20
et,561,21
den,543,22
kan,539,23
men,399,24
danmark,383,25
vil,347,26
også,322,27
jeg,322,28
man,322,29
vores,306,30
hvor,303,31
dansk,302,32
være,282,33
ved,255,34
fra,237,35
mange,235,36
var,235,37
år,208,38
os,203,39
her,202,40
nu,196,41
have,190,42
folkeparti,189,43
mere,184,44
jo,184,45
når,181,46
sig,180,47
få,162,48
derfor,160,49
eller,155,50
alle,151,51
flere,148,52
hvis,148,53
ældre,142,54
hvad,140,55
godt,139,56
meget,134,57
bliver,133,58
andre,125,59
kunne,122,60
sikre,121,61
helt,121,62
deres,118,63
op,115,64
regeringen,109,65
eu,108,66
sker,103,67
dem,103,68
kommer,101,69
må,100,70
får,99,71
over,99,72
ge,98,73
ud,96,74
danske,96,75
da,93,76
end,93,77
noget,92,78
efter,92,79
blev,91,80
danskerne,91,81
havde,91,82
sammen,89,83
forhold,86,84
selv,85,85
igen,84,86
været,83,87
sådan,83,88
dag,82,89
lige,80,90
blive,78,91
-,78,92
land,77,93
ville,73,94
ind,73,95
bare,73,96
g,71,97
sige,71,98
bedre,71,99
andet,70,100
nok,69,101
tilbage,69,102
hele,69,103
både,68,104
fik,67,105
hvordan,67,106
nogle,67,107
disse,67,108
fordi,66,109
penge,65,110
folk,64,111
alt,64,112
tage,63,113
mig,62,114
måske,62,115
danskere,62,116
ja,61,117
jer,61,118
se,60,119
blevet,59,120
skulle,59,121
kun,59,122
tid,58,123
komme,58,124
nye,58,125
politik,58,126
udlændinge,58,127
siden,57,128
f,57,129
hun,57,130
socialdemokratiet,56,131
altså,56,132
dette,56,133
mennesker,56,134
hjem,55,135
gang,54,136
denne,53,137
tryghed,52,138
fået,52,139
gå,52,140
sidste,52,141
lidt,52,142
gode,51,143
ingen,51,144
stor,51,145
valget,50,146
kr,50,147
store,50,148
samfund,49,149
endnu,49,150
lande,49,151
går,49,152
ser,49,153
frem,49,154
landet,49,155
under,49,156
står,48,157
brug,48,158
ellers,47,159
flygtninge,47,160
netop,47,161
hjælp,46,162
fast,46,163
arbejde,46,164
gerne,46,165
mod,45,166
danmarks,44,167
selvfgelig,44,168
langt,44,169
b,44,170
del,43,171
mindre,42,172
stadig,42,173
folketinget,42,174
haft,41,175
du,41,176
eksempelvis,41,177
fste,40,178
uden,40,179
muligt,39,180
folkepartis,39,181
imod,39,182
tidligere,39,183
siger,39,184
måde,39,185
selvom,39,186
mest,39,187
finde,38,188
hvorfor,38,189
ret,38,190
holder,38,191
giver,37,192
tale,37,193
ske,37,194
han,37,195
fremtiden,37,196
df,37,197
kriminelle,37,198
valg,36,199
rundt,36,200
regering,36,201
god,35,202
hver,35,203
allerede,35,204
faktisk,35,205
blandt,35,206
samme,35,207
verden,35,208
rigtig,34,209
ting,34,210
årsme,33,211
stre,33,212
sagde,33,213
handler,33,214
nemlig,33,215
lave,33,216
kommende,32,217
afgende,32,218
synes,32,219
sin,32,220
set,32,221
skabe,32,222
ny,32,223
grænsekontrol,32,224
lad,31,225
bn,31,226
desværre,31,227
mellem,31,228
svært,31,229
igennem,31,230
gælder,31,231
holde,31,232
bla,31,233
krav,30,234
længere,30,235
venstre,30,236
altid,30,237
vort,30,238
ekstra,30,239
udvikling,30,240
to,30,241
nej,30,242
taget,30,243
give,29,244
ældreområdet,29,245
ord,29,246
radikale,29,247
aldrig,29,248
kommet,29,249
grad,29,250
hinanden,29,251
politiske,29,252
gjort,29,253
politisk,29,254
steder,29,255
fælles,29,256
hvem,29,257
aftale,28,258
personer,28,259
stedet,28,260
mens,28,261
kom,28,262
tager,28,263
procent,28,264
skaber,28,265
videre,28,266
landets,28,267
inden,28,268
vigtigt,27,269
plads,27,270
storbritannien,27,271
fst,27,272
anden,27,273
seneste,27,274
ansvar,27,275
bedste,27,276
betyder,27,277
klart,27,278
mulighed,26,279
kommunerne,26,280
tror,26,281
husker,26,282
hos,26,283
næste,26,284
sagt,26,285
hurtigt,26,286
stort,26,287
viser,26,288
grænser,26,289
ophold,26,290
grundlæggende,25,291
dermed,25,292
ht,25,293
samarbejde,25,294
ned,25,295
indflydelse,25,296
sikrer,25,297
uanset,25,298
tillid,25,299
fer,25,300
unge,25,301
fællesskab,25,302
bruge,25,303
3337,25,304
vej,24,305
rejse,24,306
naturligvis,24,307
here,24,308
klar,24,309
områder,24,310
parti,24,311
gik,24,312
2015,24,313
hvert,24,314
mette,24,315
eksempel,24,316
christiansborg,24,317
ligesom,24,318
nedslidte,24,319
stå,24,320
kroner,24,321
partier,23,322
mindst,23,323
samtidig,23,324
tak,23,325
energi,23,326
hjælpe,23,327
virker,23,328
trygt,22,329
længe,22,330
asylansere,22,331
udlændingepolitikken,22,332
virkelig,22,333
én,22,334
tiden,22,335
fokus,22,336
fald,22,337
dog,22,338
politiet,22,339
kenhavn,22,340
grænsen,22,341
statsminister,22,342
vore,21,343
flertal,21,344
hertil,21,345
briterne,21,346
måtte,21,347
simpelthen,21,348
sætte,21,349
permanent,21,350
slet,21,351
grne,21,352
mener,21,353
indsats,21,354
helle,21,355
sted,20,356
ofte,20,357
grund,20,358
således,20,359
særligt,20,360
taler,20,361
milliarder,20,362
omkring,20,363
præcis,20,364
onomisk,20,365
lade,20,366
ressourcer,19,367
lang,19,368
række,19,369
dage,19,370
udfordringer,19,371
huske,19,372
dengang,19,373
vide,19,374
gennemft,19,375
finansloven,19,376
10,19,377
bruger,19,378
politikere,19,379
styr,19,380
gennem,19,381
indvandrere,19,382
overfor,19,383
migranter,19,384
plejehjem,19,385
tre,19,386
gange,19,387
kommuner,19,388
mål,19,389
blot,19,390
omstilling,19,391
regeringens,19,392
velfærd,19,393
års,19,394
behandling,19,395
co2,19,396
leve,18,397
passe,18,398
bag,18,399
indtil,18,400
færre,18,401
nærmest,18,402
europa,18,403
eneste,18,404
sit,18,405
dét,18,406
bestemt,18,407
tvivl,18,408
forslag,18,409
sverige,18,410
offentlige,18,411
bevare,18,412
åbne,18,413
pengene,18,414
thorning-schmidt,18,415
enkelte,17,416
engang,17,417
lavet,17,418
vejen,17,419
fge,17,420
min,17,421
stod,17,422
juni,17,423
givet,17,424
gavn,17,425
fortsat,17,426
tænker,17,427
frederiksen,17,428
generationer,17,429
værdier,17,430
sende,17,431
lninger,17,432
enkelt,17,433
nogen,17,434
finanslov,17,435
ude,17,436
forbindelse,17,437
værdig,16,438
bor,16,439
især,16,440
heller,16,441
k,16,442
2016,16,443
3,16,444
sket,16,445
klima,16,446
ender,16,447
reelt,16,448
venner,16,449
kristian,16,450
kære,16,451
par,16,452
anderledes,16,453
valgkampen,16,454
sine,16,455
fremover,16,456
samlet,16,457
råd,16,458
1,16,459
opbakning,16,460
morten,16,461
sundhedsvæsen,16,462
kender,16,463
alene,16,464
problemer,16,465
vel,16,466
landbrug,16,467
herning,16,468
spgsmål,16,469
året,16,470
ganske,16,471
tiltag,16,472
eget,15,473
liv,15,474
ældrepleje,15,475
lov,15,476
nt,15,477
tæt,15,478
2019,15,479
velkommen,15,480
såkaldte,15,481
vende,15,482
peter,15,483
danskernes,15,484
adgang,15,485
spge,15,486
dele,15,487
stste,15,488
fire,15,489
rigtige,15,490
politi,15,491
nyt,15,492
glade,15,493
historie,15,494
virksomheder,15,495
nå,15,496
hygge,15,497
brugt,15,498
vilkår,14,499
arbejder,14,500
regler,14,501
kort,14,502
aftaler,14,503
sagen,14,504
h,14,505
klare,14,506
håber,14,507
frit,14,508
september,14,509
side,14,510
ordentlig,14,511
5,14,512
fe,14,513
klimaet,14,514
tingene,14,515
2018,14,516
udviklingen,14,517
situation,14,518
he,14,519
lever,14,520
betale,14,521
udsatte,14,522
jeres,14,523
arbejdspladser,14,524
tal,14,525
hånd,14,526
skabt,14,527
islamisk,14,528
statsborgerskab,14,529
konventionerne,14,530
grænsekontrollen,14,531
milliard,14,532
bo,13,533
behov,13,534
afsat,13,535
gjorde,13,536
fortsætte,13,537
glæde,13,538
hen,13,539
kamp,13,540
kæmpe,13,541
rigt,13,542
2,13,543
lars,13,544
velfærdssamfund,13,545
mening,13,546
tyskland,13,547
borgere,13,548
sundhedsvæsenet,13,549
str,13,550
hjælper,13,551
herunder,13,552
bekæmpe,13,553
2017,13,554
næsten,13,555
verdens,13,556
sag,13,557
kontrol,13,558
intet,13,559
ligger,13,560
udlandet,13,561
l,13,562
genåbningen,13,563
onomi,13,564
transport,13,565
tålt,13,566
antallet,12,567
afviste,12,568
sf,12,569
asyl,12,570
rigtigt,12,571
love,12,572
ydelser,12,573
indvandringen,12,574
stemme,12,575
spgsmålet,12,576
thulesen,12,577
tro,12,578
sidst,12,579
gav,12,580
vist,12,581
pludselig,12,582
sidder,12,583
burde,12,584
muligheder,12,585
rammer,12,586
nvendigt,12,587
lagt,12,588
forstå,12,589
ordning,12,590
ordet,12,591
lader,12,592
2011,12,593
weekend,12,594
patienter,12,595
idanmark,12,596
efteråret,12,597
internationale,12,598
kræver,12,599
hende,12,600
mio,12,601
ærligt,12,602
kriminalitet,12,603
syrien,12,604
fantastisk,12,605
fængsel,12,606
sikkerhed,12,607
sommer,12,608
slå,12,609
skoler,12,610
dén,12,611
fjerne,12,612
straf,12,613
rasmussen,12,614
skat,12,615
plan,12,616
senest,12,617
statsministeren,12,618
bjarne,12,619
krisen,12,620
overhovedet,11,621
arbejdet,11,622
uge,11,623
gået,11,624
årevis,11,625
område,11,626
demokrati,11,627
r,11,628
udenfor,11,629
dr,11,630
starten,11,631
sat,11,632
laves,11,633
hold,11,634
snart,11,635
mærke,11,636
glemt,11,637
december,11,638
pensionister,11,639
markant,11,640
aalborg,11,641
samfundet,11,642
lte,11,643
trods,11,644
lille,11,645
syge,11,646
al,11,647
vækst,11,648
byer,11,649
vedvarende,11,650
bedst,11,651
samt,11,652
ældreplejen,11,653
pr,11,654
ét,11,655
20,11,656
kultur,11,657
12,11,658
partierne,11,659
måned,11,660
virkeligheden,11,661
fleste,11,662
skærpet,11,663
medlemmer,11,664
15,11,665
betjente,11,666
e,11,667
hårdt,11,668
kæmper,11,669
tænke,11,670
hvornår,11,671
risikerer,11,672
pia,11,673
kontrollen,11,674
plastik,11,675
usa,11,676
aftalen,11,677
sagens,11,678
studerende,11,679
medborgere,10,680
dejligt,10,681
respekt,10,682
midlertidigt,10,683
fred,10,684
stramninger,10,685
brexit,10,686
london,10,687
bestemmer,10,688
bruxelles,10,689
medlem,10,690
model,10,691
hjemme,10,692
uger,10,693
væk,10,694
lke,10,695
forskellige,10,696
særlig,10,697
vælge,10,698
østergaard,10,699
nået,10,700
fuldstændig,10,701
ene,10,702
bruges,10,703
ges,10,704
debat,10,705
gengæld,10,706
social,10,707
let,10,708
eksempler,10,709
hænder,10,710
hans,10,711
prioriteret,10,712
flertallet,10,713
