word,word_count,rank,,,
de,2558,1,,Total,43469
la,1529,2,,,
et,1196,3,,,
le,972,4,,,
des,952,5,,,
les,947,6,,,
à,760,7,,,
en,663,8,,,
nous,588,9,,,
qui,583,10,,,
que,470,11,,,
un,446,12,,,
pour,411,13,,,
du,398,14,,,
une,396,15,,,
dans,359,16,,,
pas,303,17,,,
est,283,18,,,
par,264,19,,,
au,248,20,,,
ce,237,21,,,
ne,235,22,,,
sur,230,23,,,
avec,227,24,,,
notre,223,25,,,
a,221,26,,,
il,207,27,,,
vous,202,28,,,
comme,181,29,,,
c’est,180,30,,,
france,178,31,,,
plus,176,32,,,
nos,176,33,,,
aux,173,34,,,
se,166,35,,,
ou,152,36,,,
cette,139,37,,,
européenne,139,38,,,
sont,139,39,,,
je,135,40,,,
politique,117,41,,,
mais,117,42,,,
français,111,43,,,
pays,111,44,,,
d’une,108,45,,,
être,96,46,,,
ont,90,47,,,
sans,89,48,,,
leur,88,49,,,
on,88,50,,,
tout,81,51,,,
fait,80,52,,,
ses,78,53,,,
tous,77,54,,,
ces,77,55,,,
national,77,56,,,
son,76,57,,,
même,75,58,,,
y,71,59,,,
d’un,71,60,,,
si,69,61,,,
l’union,68,62,,,
sa,67,63,,,
sera,66,64,,,
elle,66,65,,,
n’est,66,66,,,
faire,62,67,,,
été,61,68,,,
aussi,60,69,,,
entre,59,70,,,
contre,59,71,,,
l’europe,58,72,,,
nations,55,73,,,
cela,55,74,,,
pouvoir,55,75,,,
où,55,76,,,
monde,55,77,,,
parce,54,78,,,
nationale,53,79,,,
doit,53,80,,,
défense,53,81,,,
qu’il,53,82,,,
sécurité,51,83,,,
avons,51,84,,,
nom,50,85,,,
macron,50,86,,,
liberté,48,87,,,
projet,46,88,,,
ils,46,89,,,
non,44,90,,,
mouvement,44,91,,,
donc,43,92,,,
dont,42,93,,,
sommes,42,94,,,
vie,40,95,,,
soit,38,96,,,
europe,37,97,,,
peut,37,98,,,
m,36,99,,,
droit,36,100,,,
bien,36,101,,,
entreprises,35,102,,,
aujourd’hui,35,103,,,
française,35,104,,,
européennes,35,105,,,
très,35,106,,,
système,35,107,,,
gouvernement,35,108,,,
peuples,34,109,,,
notamment,34,110,,,
toute,33,111,,,
territoire,33,112,,,
deux,33,113,,,
toutes,33,114,,,
leurs,33,115,,,
loi,33,116,,,
sous,32,117,,,
grand,31,118,,,
grande,31,119,,,
rien,31,120,,,
ans,30,121,,,
place,30,122,,,
afin,30,123,,,
compte,30,124,,,
celui,30,125,,,
lui,30,126,,,
économique,29,127,,,
ceux,29,128,,,
mettre,29,129,,,
dire,29,130,,,
grandes,28,131,,,
nation,28,132,,,
européens,28,133,,,
moyens,28,134,,,
droite,28,135,,,
devons,28,136,,,
peuple,27,137,,,
depuis,27,138,,,
moins,27,139,,,
protection,27,140,,,
après,27,141,,,
va,27,142,,,
sociale,26,143,,,
face,26,144,,,
vers,26,145,,,
ainsi,26,146,,,
gauche,26,147,,,
là,26,148,,,
c’est-à-dire,26,149,,,
quand,26,150,,,
front,26,151,,,
publique,25,152,,,
0,25,153,,,
coopération,25,154,,,
s’est,25,155,,,
doivent,25,156,,,
parti,25,157,,,
déjà,24,158,,,
lieu,24,159,,,
forces,24,160,,,
nouvelle,24,161,,,
ni,24,162,,,
pourquoi,24,163,,,
d’autres,24,164,,,
migrants,24,165,,,
alors,23,166,,,
service,23,167,,,
travail,23,168,,,
cet,23,169,,,
temps,23,170,,,
principe,23,171,,,
seulement,23,172,,,
force,23,173,,,
celle,23,174,,,
l’etat,23,175,,,
jamais,23,176,,,
n’y,23,177,,,
refondation,23,178,,,
victoire,23,179,,,
public,22,180,,,
partout,22,181,,,
l’outre-mer,22,182,,,
européen,22,183,,,
élections,22,184,,,
nombre,22,185,,,
situation,22,186,,,
l’économie,22,187,,,
part,22,188,,,
n’a,22,189,,,
faut,22,190,,,
aura,22,191,,,
amis,22,192,,,
marche,22,193,,,
changement,22,194,,,
seront,21,195,,,
services,21,196,,,
souveraineté,21,197,,,
créer,21,198,,,
premier,21,199,,,
social,21,200,,,
politiques,21,201,,,
qu’ils,21,202,,,
moment,21,203,,,
président,21,204,,,
l’alliance,21,205,,,
millions,21,206,,,
seul,20,207,,,
toujours,20,208,,,
cur,20,209,,,
etc,20,210,,,
l’immigration,20,211,,,
fin,20,212,,,
mise,20,213,,,
première,20,214,,,
capacité,20,215,,,
matière,20,216,,,
vision,20,217,,,
peu,20,218,,,
voit,20,219,,,
allons,20,220,,,
rendre,19,221,,,
votre,19,222,,,
présidentielle,19,223,,,
françaises,19,224,,,
nationaux,19,225,,,
niveau,19,226,,,
puissance,19,227,,,
d’être,19,228,,,
l’histoire,19,229,,,
souvent,19,230,,,
ici,19,231,,,
logique,19,232,,,
comment,19,233,,,
qu’elle,18,234,,,
l’avenir,18,235,,,
liste,18,236,,,
valeurs,18,237,,,
militaire,18,238,,,
cas,18,239,,,
nature,18,240,,,
création,18,241,,,
jours,18,242,,,
hommes,18,243,,,
militaires,18,244,,,
encore,18,245,,,
milliards,18,246,,,
certains,18,247,,,
question,18,248,,,
jour,18,249,,,
peut-être,18,250,,,
vient,18,251,,,
quelques,18,252,,,
vive,18,253,,,
vos,18,254,,,
permettre,17,255,,,
eux,17,256,,,
frontières,17,257,,,
intérêts,17,258,,,
défendre,17,259,,,
sortir,17,260,,,
nouveau,17,261,,,
fonds,17,262,,,
autour,17,263,,,
combat,17,264,,,
avant,17,265,,,
n’ont,17,266,,,
avoir,17,267,,,
sentiment,17,268,,,
idées,17,269,,,
j’ai,16,270,,,
contrôle,16,271,,,
véritable,16,272,,,
compris,16,273,,,
mes,16,274,,,
enfants,16,275,,,
plan,16,276,,,
rétablir,16,277,,,
policiers,16,278,,,
étrangers,16,279,,,
mer,16,280,,,
manière,16,281,,,
chaque,16,282,,,
également,16,283,,,
mois,16,284,,,
santé,16,285,,,
patrimoine,16,286,,,
histoire,16,287,,,
me,16,288,,,
cause,16,289,,,
savez,16,290,,,
cinq,15,291,,,
mesures,15,292,,,
l’état,15,293,,,
années,15,294,,,
grands,15,295,,,
rôle,15,296,,,
zones,15,297,,,
renforcer,15,298,,,
culture,15,299,,,
nationalité,15,300,,,
budget,15,301,,,
forme,15,302,,,
terre,15,303,,,
chacun,15,304,,,
juste,15,305,,,
personnes,15,306,,,
marché,15,307,,,
raison,15,308,,,
réalité,15,309,,,
autres,15,310,,,
débat,15,311,,,
beaucoup,15,312,,,
l’élection,15,313,,,
clivage,15,314,,,
seule,15,315,,,
donne,15,316,,,
pouvons,15,317,,,
rassemblement,15,318,,,
trop,14,319,,,
fiscale,14,320,,,
publics,14,321,,,
choix,14,322,,,
économiques,14,323,,,
civilisation,14,324,,,
réforme,14,325,,,
libertés,14,326,,,
lutter,14,327,,,
respect,14,328,,,
soutenir,14,329,,,
police,14,330,,,
réelle,14,331,,,
mis,14,332,,,
modèle,14,333,,,
cadre,14,334,,,
société,14,335,,,
taux,14,336,,,
uvre,14,337,,,
dirigeants,14,338,,,
armées,14,339,,,
année,14,340,,,
dissuasion,14,341,,,
tant,14,342,,,
pourtant,14,343,,,
alliances,14,344,,,
etats,14,345,,,
l’allemagne,14,346,,,
qu’une,14,347,,,
mesure,14,348,,,
qu’on,14,349,,,
voir,14,350,,,
mesdames,14,351,,,
messieurs,14,352,,,
marine,13,353,,,
tête,13,354,,,
citoyens,13,355,,,
sociaux,13,356,,,
élus,13,357,,,
trois,13,358,,,
territoires,13,359,,,
république,13,360,,,
nouvelles,13,361,,,
ailleurs,13,362,,,
terrorisme,13,363,,,
lien,13,364,,,
ministre,13,365,,,
partie,13,366,,,
1,13,367,,,
50,13,368,,,
l’ensemble,13,369,,,
sociétés,13,370,,,
donner,13,371,,,
sein,13,372,,,
l’on,13,373,,,
besoin,13,374,,,
or,13,375,,,
pu,13,376,,,
derrière,13,377,,,
belle,13,378,,,
désormais,13,379,,,
municipales,13,380,,,
savons,13,381,,,
voyez,13,382,,,
train,13,383,,,
projets,13,384,,,
signifie,13,385,,,
laquelle,13,386,,,
adhérents,13,387,,,
car,12,388,,,
soient,12,389,,,
décision,12,390,,,
permettra,12,391,,,
assurer,12,392,,,
prison,12,393,,,
dispositif,12,394,,,
possible,12,395,,,
conditions,12,396,,,
concurrence,12,397,,,
salariés,12,398,,,
protéger,12,399,,,
stratégique,12,400,,,
celles,12,401,,,
effet,12,402,,,
haut,12,403,,,
dès,12,404,,,
davantage,12,405,,,
construction,12,406,,,
nécessaire,12,407,,,
sens,12,408,,,
enfin,12,409,,,
loin,12,410,,,
chers,12,411,,,
électorale,12,412,,,
d’opposition,12,413,,,
eu,12,414,,,
parler,12,415,,,
partis,12,416,,,
porte,12,417,,,
voulons,12,418,,,
exemple,12,419,,,
long,11,420,,,
campagne,11,421,,,
démocratie,11,422,,,
d’abord,11,423,,,
l’argent,11,424,,,
proximité,11,425,,,
justice,11,426,,,
petites,11,427,,,
selon,11,428,,,
légitime,11,429,,,
ministère,11,430,,,
lois,11,431,,,
tour,11,432,,,
agents,11,433,,,
organisation,11,434,,,
produits,11,435,,,
priorité,11,436,,,
grâce,11,437,,,
recherche,11,438,,,
maritime,11,439,,,
banque,11,440,,,
institutions,11,441,,,
maintenir,11,442,,,
transmission,11,443,,,
famille,11,444,,,
régime,11,445,,,
général,11,446,,,
pris,11,447,,,
fonction,11,448,,,
passe,11,449,,,
numérique,11,450,,,
puis,11,451,,,
systèmes,11,452,,,
l’armée,11,453,,,
haute,11,454,,,
etats-unis,11,455,,,
guerre,11,456,,,
plusieurs,11,457,,,
programme,11,458,,,
2018,11,459,,,
dit,11,460,,,
gens,11,461,,,
vu,11,462,,,
parle,11,463,,,
l’idée,11,464,,,
fédérations,11,465,,,
l’ue,11,466,,,
militants,11,467,,,
démocratique,10,468,,,
garantir,10,469,,,
droits,10,470,,,
personnels,10,471,,,
matériels,10,472,,,
accords,10,473,,,
10,10,474,,,
prix,10,475,,,
porter,10,476,,,
groupes,10,477,,,
jusqu’à,10,478,,,
crise,10,479,,,
prise,10,480,,,
départementales,10,481,,,
elles,10,482,,,
historique,10,483,,,
sort,10,484,,,
développement,10,485,,,
chine,10,486,,,
succès,10,487,,,
sais,10,488,,,
objectif,10,489,,,
avait,10,490,,,
parfois,10,491,,,
personne,10,492,,,
surtout,10,493,,,
autre,10,494,,,
mme,10,495,,,
villes,10,496,,,
voilà,10,497,,,
régions,10,498,,,
devant,10,499,,,
2019,10,500,,,
lr,10,501,,,
interne,10,502,,,
dis,10,503,,,
l’homme,10,504,,,
alliance,10,505,,,
chez,10,506,,,
quinquennat,9,507,,,
bénéfice,9,508,,,
trouver,9,509,,,
bout,9,510,,,
veut,9,511,,,
retrouver,9,512,,,
nationales,9,513,,,
constitution,9,514,,,
actuellement,9,515,,,
suppression,9,516,,,
statut,9,517,,,
peine,9,518,,,
appliquer,9,519,,,
aides,9,520,,,
délinquants,9,521,,,
particulier,9,522,,,
réduire,9,523,,,
qu’à,9,524,,,
collectivités,9,525,,,
menace,9,526,,,
stratégiques,9,527,,,
prendre,9,528,,,
partage,9,529,,,
développer,9,530,,,
3,9,531,,,
nombreux,9,532,,,
production,9,533,,,
privée,9,534,,,
l’intérêt,9,535,,,
certaines,9,536,,,
d’entre,9,537,,,
voie,9,538,,,
passer,9,539,,,
l’otan,9,540,,,
nucléaire,9,541,,,
mondialisation,9,542,,,
produire,9,543,,,
l’éolien,9,544,,,
ville,9,545,,,
l’effort,9,546,,,
stratégie,9,547,,,
avions,9,548,,,
qu’en,9,549,,,
fois,9,550,,,
n,9,551,,,
lors,9,552,,,
autant,9,553,,,
bon,9,554,,,
libres,9,555,,,
engagé,9,556,,,
peuvent,9,557,,,
l’objet,9,558,,,
sûr,9,559,,,
voudrais,9,560,,,
merci,9,561,,,
permis,9,562,,,
combien,9,563,,,
séquence,9,564,,,
recomposition,9,565,,,
mots,9,566,,,
serait,9,567,,,
passé,9,568,,,
qu’un,9,569,,,
affaire,9,570,,,
propose,9,571,,,
sorte,9,572,,,
l’occasion,9,573,,,
régionales,9,574,,,
cadres,9,575,,,
ensemble,9,576,,,
congrès,9,577,,,
spinoza,9,578,,,
crois,9,579,,,
contraire,9,580,,,
vocation,9,581,,,
électoral,9,582,,,
2017,8,583,,,
mon,8,584,,,
révolution,8,585,,,
s’agit,8,586,,,
emplois,8,587,,,
lequel,8,588,,,
l’autre,8,589,,,
indépendance,8,590,,,
5,8,591,,,
départements,8,592,,,
revaloriser,8,593,,,
femmes,8,594,,,
sociales,8,595,,,
l’intérieur,8,596,,,
supplémentaires,8,597,,,
supprimer,8,598,,,
opérationnelle,8,599,,,
vente,8,600,,,
secteurs,8,601,,,
titre,8,602,,,
imposer,8,603,,,
2,8,604,,,
maintenant,8,605,,,
libre,8,606,,,
euros,8,607,,,
condition,8,608,,,
charge,8,609,,,
études,8,610,,,
point,8,611,,,
remplacer,8,612,,,
lancer,8,613,,,
renforcement,8,614,,,
cultures,8,615,,,
conseil,8,616,,,
ouvrir,8,617,,,
petits,8,618,,,
guerres,8,619,,,
domaines,8,620,,,
industrielle,8,621,,,
effort,8,622,,,
second,8,623,,,
libre-échange,8,624,,,
diplomatie,8,625,,,
l’une,8,626,,,
russie,8,627,,,
s’il,8,628,,,
d’etat,8,629,,,
l’expression,8,630,,,
volonté,8,631,,,
relève,8,632,,,
pourrait,8,633,,,
telle,8,634,,,
suis,8,635,,,
s’ils,8,636,,,
alliés,8,637,,,
brexit,8,638,,,
politiquement,8,639,,,
programmes,8,640,,,
particulièrement,8,641,,,
conduit,8,642,,,
quel,8,643,,,
région,8,644,,,
permet,8,645,,,
demande,8,646,,,
vote,8,647,,,
mieux,8,648,,,
l’avez,8,649,,,
puisque,8,650,,,
changer,8,651,,,
etat,8,652,,,
disparition,8,653,,,
quartiers,8,654,,,
position,8,655,,,
villages,8,656,,,
écologique,8,657,,,
diversité,8,658,,,
responsabilité,8,659,,,
demain,8,660,,,
an,8,661,,,
mai,8,662,,,
bruxelles,8,663,,,
wauquiez,8,664,,,
patrie,8,665,,,
locales,8,666,,,
impose,8,667,,,
traité,8,668,,,
remettre,7,669,,,
action,7,670,,,
cours,7,671,,,
l’objectif,7,672,,,
veux,7,673,,,
moyennes,7,674,,,
élection,7,675,,,
met,7,676,,,
maîtrise,7,677,,,
vue,7,678,,,
représentation,7,679,,,
six,7,680,,,
compétences,7,681,,,
baisse,7,682,,,
locaux,7,683,,,
d’expression,7,684,,,
valeur,7,685,,,
instaurer,7,686,,,
renseignement,7,687,,,
places,7,688,,,
l’administration,7,689,,,
l’école,7,690,,,
formation,7,691,,,
l’esprit,7,692,,,
islamiste,7,693,,,
filières,7,694,,,
techniques,7,695,,,
unique,7,696,,,
clair,7,697,,,
taxe,7,698,,,
préserver,7,699,,,
marchés,7,700,,,
financiers,7,701,,,
mêmes,7,702,,,
charges,7,703,,,
propre,7,704,,,
progressivement,7,705,,,
d’achat,7,706,,,
outre-mer,7,707,,,
bancaire,7,708,,,
nouveaux,7,709,,,
clandestins,7,710,,,
carte,7,711,,,
hausse,7,712,,,
privé,7,713,,,
terme,7,714,,,
crédits,7,715,,,
l’université,7,716,,,
chantier,7,717,,,
traités,7,718,,,
centrale,7,719,,,
étudiants,7,720,,,
paix,7,721,,,
retour,7,722,,,
malgré,7,723,,,
mondial,7,724,,,
mener,7,725,,,
opérations,7,726,,,
diplomatique,7,727,,,
industriel,7,728,,,
françois,7,729,,,
propos,7,730,,,
d’ailleurs,7,731,,,
80,7,732,,,
d’euros,7,733,,,
domaine,7,734,,,
sortie,7,735,,,
d’alliance,7,736,,,
signe,7,737,,,
cesser,7,738,,,
faits,7,739,,,
monsieur,7,740,,,
département,7,741,,,
s’impose,7,742,,,
chose,7,743,,,
l’individualisme,7,744,,,
laisser,7,745,,,
héritage,7,746,,,
rapport,7,747,,,
stationnement,7,748,,,
majorité,7,749,,,
réduction,7,750,,,
rappeler,7,751,,,
d’europe,7,752,,,
majoritaires,7,753,,,
étape,7,754,,,
statuts,7,755,,,
confusion,7,756,,,
d’en,7,757,,,
savent,7,758,,,
confiance,7,759,,,
souhaitons,7,760,,,
l’avons,7,761,,,
font,7,762,,,
vouloir,7,763,,,
continent,7,764,,,
mal,7,765,,,
propres,7,766,,,
n’était,7,767,,,
connaît,7,768,,,
siège,7,769,,,
souhaite,7,770,,,
questions,7,771,,,
insécurité,7,772,,,
