word,word_count,rank,,
die,5106,1,,128184
der,4690,2,,
und,4099,3,,
in,1907,4,,
zu,1570,5,,
den,1418,6,,
des,1407,7,,
von,1316,8,,
das,1292,9,,
ist,1209,10,,
nicht,1123,11,,
werden,973,12,,
eine,919,13,,
auf,895,14,,
mit,816,15,,
oder,789,16,,
durch,760,17,,
als,755,18,,
ein,745,19,,
sich,741,20,,
f,740,21,,
im,720,22,,
sind,659,23,,
für,646,24,,
auch,627,25,,
dem,619,26,,
es,561,27,,
dass,559,28,,
einer,545,29,,
wir,531,30,,
2,509,31,,
nach,488,32,,
sie,470,33,,
1,465,34,,
an,452,35,,
wird,448,36,,
aus,447,37,,
zur,430,38,,
afd,407,39,,
bei,381,40,,
partei,376,41,,
wenn,362,42,,
deutschland,359,43,,
nur,357,44,,
kann,354,45,,
artikel,352,46,,
er,339,47,,
hat,314,48,,
gegen,291,49,,
diese,289,50,,
zum,286,51,,
wie,268,52,,
muss,263,53,,
um,256,54,,
3,253,55,,
eines,242,56,,
so,241,57,,
einem,220,58,,
ich,219,59,,
keine,219,60,,
haben,209,61,,
einen,207,62,,
aber,207,63,,
deutschen,205,64,,
abs,196,65,,
länder,194,66,,
sein,190,67,,
bestrebungen,190,68,,
beobachtung,190,69,,
vor,182,70,,
ihre,181,71,,
vom,180,72,,
mehr,175,73,,
dieser,173,74,,
dies,170,75,,
verfassungsfeindliche,164,76,,
grundordnung,161,77,,
eu,159,78,,
alle,158,79,,
sowie,157,80,,
noch,156,81,,
deutsche,154,82,,
ihrer,154,83,,
europäischen,152,84,,
ab,151,85,,
wollen,149,86,,
ohne,147,87,,
bis,147,88,,
unter,147,89,,
knen,146,90,,
4,145,91,,
dann,145,92,,
recht,144,93,,
seiner,141,94,,
verfassungsschutz,141,95,,
bund,138,96,,
sondern,134,97,,
anhaltspunkte,132,98,,
damit,131,99,,
v,131,100,,
politischen,130,101,,
daß,129,102,,
darf,128,103,,
dieses,125,104,,
wieder,125,105,,
über,125,106,,
zustimmung,125,107,,
am,124,108,,
ländern,123,109,,
europa,119,110,,
satz,119,111,,
soweit,117,112,,
bundes,115,113,,
bundesregierung,114,114,,
man,113,115,,
bundesrates,112,116,,
soll,110,117,,
deren,107,118,,
art,106,119,,
ob,106,120,,
demokratische,106,121,,
daher,104,122,,
gilt,104,123,,
was,103,124,,
diesem,103,125,,
grundgesetz,102,126,,
öffentlichen,102,127,,
menschen,101,128,,
anderen,99,129,,
bundesgesetz,99,130,,
hier,98,131,,
insbesondere,97,132,,
können,94,133,,
uns,93,134,,
msen,93,135,,
5,92,136,,
dazu,92,137,,
politische,91,138,,
erhalten,91,139,,
freiheitliche,91,140,,
demokratischen,90,141,,
s,90,142,,
innerhalb,90,143,,
vs,89,144,,
dienst,89,145,,
staaten,87,146,,
absatz,87,147,,
mitglieder,87,148,,
fr,86,149,,
zb,86,150,,
kein,86,151,,
urt,86,152,,
deshalb,85,153,,
immer,85,154,,
will,84,155,,
gesetz,83,156,,
kinder,83,157,,
äußerungen,82,158,,
geht,82,159,,
bger,81,160,,
euro,81,161,,
gibt,80,162,,
islam,79,163,,
parteien,79,164,,
fordert,78,165,,
bereits,78,166,,
selbst,76,167,,
kultur,76,168,,
unserer,76,169,,
bundestag,76,170,,
sollen,76,171,,
land,75,172,,
andere,75,173,,
freiheitlichen,75,174,,
