word,word_count,rank,,Total,120432
och,4444,1,,,
att,3988,2,,,
i,2712,3,,,
som,2236,4,,,
av,2168,5,,,
fr,2140,6,,,
en,1924,7,,,
är,1751,8,,,
till,1615,9,,,
på,1582,10,,,
det,1517,11,,,
ska,1360,12,,,
med,1267,13,,,
ett,1134,14,,,
den,1029,15,,,
de,969,16,,,
vi,861,17,,,
har,816,18,,,
inte,774,19,,,
om,699,20,,,
f,698,21,,,
kan,561,22,,,
eller,544,23,,,
sverigedemokraterna,543,24,,,
br,435,25,,,
detta,421,26,,,
inom,416,27,,,
genom,398,28,,,
vara,396,29,,,
vill,393,30,,,
sig,366,31,,,
från,361,32,,,
vid,356,33,,,
h,355,34,,,
så,321,35,,,
sverige,318,36,,,
också,306,37,,,
svenska,300,38,,,
mom,268,39,,,
där,263,40,,,
vår,253,41,,,
alla,250,42,,,
även,249,43,,,
samt,239,44,,,
därfr,238,45,,,
mellan,219,46,,,
måste,218,47,,,
ha,218,48,,,
under,216,49,,,
kommunen,213,50,,,
andra,209,51,,,
kunna,208,52,,,
finns,208,53,,,
mot,204,54,,,
får,202,55,,,
dessa,202,56,,,
men,190,57,,,
få,188,58,,,
sin,185,59,,,
b,185,60,,,
år,180,61,,,
än,173,62,,,
oss,165,63,,,
barn,164,64,,,
eu,159,65,,,
utan,159,66,,,
rätt,153,67,,,
sätt,152,68,,,
förslag,152,69,,,
mer,151,70,,,
1,150,71,,,
sverigedemokraternas,149,72,,,
ser,148,73,,,
olika,148,74,,,
man,148,75,,,
kvinnor,147,76,,,
många,144,77,,,
dock,141,78,,,
del,141,79,,,
när,140,80,,,
efter,140,81,,,
ut,140,82,,,
våra,139,83,,,
samtidigt,138,84,,,
äldre,138,85,,,
2,137,86,,,
denna,135,87,,,
d,134,88,,,
vårt,133,89,,,
fler,132,90,,,
upp,132,91,,,
viktigt,132,92,,,
kommuner,130,93,,,
kommer,129,94,,,
samhället,126,95,,,
ver,124,96,,,
både,123,97,,,
skolan,123,98,,,
då,122,99,,,
hur,121,100,,,
bland,121,101,,,
val,121,102,,,
mycket,119,103,,,
ta,119,104,,,
personer,118,105,,,
idag,117,106,,,
behov,117,107,,,
varje,115,108,,,
arbete,115,109,,,
vad,115,110,,,
vilket,115,111,,,
exempel,114,112,,,
särskilt,113,113,,,
3,111,114,,,
sina,111,115,,,
minst,111,116,,,
innebär,110,117,,,
gäller,110,118,,,
4,109,119,,,
stor,106,120,,,
såväl,106,121,,,
män,106,122,,,
q,105,123,,,
ge,103,124,,,
samma,102,125,,,
tid,102,126,,,
respektive,101,127,,,
anser,99,128,,,
gemensamma,97,129,,,
utbildning,95,130,,,
annat,94,131,,,
kommunerna,94,132,,,
bli,93,133,,,
ansvar,92,134,,,
allt,90,135,,,
elever,90,136,,,
landstingen,90,137,,,
stärka,89,138,,,
verksamhet,89,139,,,
frsta,89,140,,,
procent,89,141,,,
exempelvis,88,142,,,
människor,88,143,,,
deras,87,144,,,
6,87,145,,,
erbjuda,87,146,,,
distriktsstämma,87,147,,,
sitt,86,148,,,
brott,86,149,,,
senast,86,150,,,
politik,85,151,,,
skapa,85,152,,,
verka,84,153,,,
in,84,154,,,
trygghet,83,155,,,
extra,83,156,,,
5,83,157,,,
problem,82,158,,,
distrikt,82,159,,,
poliser,82,160,,,
medborgare,81,161,,,
strre,81,162,,,
hela,81,163,,,
dessutom,81,164,,,
sveriges,80,165,,,
2018,80,166,,,
kommunala,80,167,,,
se,79,168,,,
god,79,169,,,
nya,78,170,,,
svensk,78,171,,,
stora,78,172,,,
mjligt,77,173,,,
själva,77,174,,,
fall,77,175,,,
riksorganisationen,77,176,,,
dem,76,177,,,
blir,76,178,,,
antalet,76,179,,,
rsträtt,76,180,,,
områden,75,181,,,
samhälle,74,182,,,
a,74,183,,,
skulle,74,184,,,
ordinarie,74,185,,,
std,74,186,,,
nivå,73,187,,,
vissa,73,188,,,
enligt,73,189,,,
kvalitet,73,190,,,
därf,72,191,,,
landsdagar,72,192,,,
bättre,71,193,,,
två,71,194,,,
väl,70,195,,,
arbeta,70,196,,,
lokala,70,197,,,
utsträckning,69,198,,,
beslut,69,199,,,
landet,69,200,,,
valet,69,201,,,
valkonferens,69,202,,,
något,68,203,,,
hgre,67,204,,,
hg,67,205,,,
alltid,66,206,,,
politiska,66,207,,,
sker,66,208,,,
arbetet,66,209,,,
skolor,66,210,,,
landsting,66,211,,,
länder,65,212,,,
medlemmar,65,213,,,
vård,65,214,,,
samtliga,64,215,,,
personal,64,216,,,
behver,63,217,,,
ofta,63,218,,,
fre,63,219,,,
infr,62,220,,,
åtgärder,62,221,,,
varit,62,222,,,
grund,62,223,,,
10,62,224,,,
partiet,62,225,,,
sociala,61,226,,,
istället,61,227,,,
infa,61,228,,,
krävs,61,229,,,
delar,60,230,,,
bara,60,231,,,
krav,60,232,,,
flera,60,233,,,
villkor,60,234,,,
tidigare,60,235,,,
7,60,236,,,
tar,59,237,,,
kring,59,238,,,
egna,59,239,,,
utveckling,59,240,,,
eus,59,241,,,
fram,59,242,,,
polisen,59,243,,,
dagar,59,244,,,
land,58,245,,,
stort,58,246,,,
minska,58,247,,,
dess,58,248,,,
per,58,249,,,
ger,58,250,,,
ekonomiska,58,251,,,
partiets,58,252,,,
lärare,58,253,,,
forskning,57,254,,,
finnas,57,255,,,
viktig,57,256,,,
hand,57,257,,,
8,57,258,,,
gra,56,259,,,
samarbete,56,260,,,
ur,56,261,,,
endast,56,262,,,
kommun-och,56,263,,,
var,55,264,,,
bra,55,265,,,
eftersom,55,266,,,
kommun,55,267,,,
x,55,268,,,
enskilda,54,269,,,
resurser,54,270,,,
staten,54,271,,,
ges,54,272,,,
annan,54,273,,,
15,54,274,,,
nationell,53,275,,,
gå,53,276,,,
kulturarvet,53,277,,,
står,52,278,,,
nationella,52,279,,,
viktiga,52,280,,,
ka,52,281,,,
kronor,52,282,,,
vilka,52,283,,,
ske,52,284,,,
information,52,285,,,
frutsättningar,52,286,,,
unga,52,287,,,
mjlighet,51,288,,,
någon,51,289,,,
partistyrelsen,51,290,,,
skola,51,291,,,
all,50,292,,,
grundläggande,50,293,,,
ekonomisk,50,294,,,
social,50,295,,,
årsmte,50,296,,,
egen,49,297,,,
form,49,298,,,
helt,49,299,,,
innan,49,300,,,
skickas,49,301,,,
13,49,302,,,
kallelse,49,303,,,
goda,48,304,,,
infra,48,305,,,
regeringen,48,306,,,
syfte,48,307,,,
hjälp,48,308,,,
mest,48,309,,,
går,48,310,,,
dag,48,311,,,
antal,48,312,,,
såsom,47,313,,,
ingen,47,314,,,
menar,47,315,,,
tillgång,47,316,,,
kommunens,47,317,,,
ordfrande,47,318,,,
14,46,319,,,
komma,46,320,,,
respekt,46,321,,,
riskerar,46,322,,,
sådana,46,323,,,
vidare,46,324,,,
dels,46,325,,,
medan,46,326,,,
hos,46,327,,,
9,46,328,,,
patienter,46,329,,,
grad,45,330,,,
ledamter,45,331,,,
skapar,45,332,,,
sedan,45,333,,,
blivit,45,334,,,
senaste,45,335,,,
skall,45,336,,,
tas,45,337,,,
kat,45,338,,,
kultur,44,339,,,
gemenskap,44,340,,,
lika,44,341,,,
sådan,44,342,,,
2017,44,343,,,
hot,44,344,,,
kad,44,345,,,
aktivt,44,346,,,
verksamheter,44,347,,,
verksamheten,44,348,,,
kraftigt,43,349,,,
stre,43,350,,,
offentliga,43,351,,,
välja,43,352,,,
hålla,43,353,,,
2019,42,354,,,
bästa,42,355,,,
bygga,42,356,,,
gr,42,357,,,
trots,42,358,,,
viktigaste,42,359,,,
insatser,42,360,,,
använda,42,361,,,
liv,42,362,,,
roll,42,363,,,
strsta,42,364,,,
oavsett,42,365,,,
ungdomar,42,366,,,
kommun-eller,42,367,,,
nordiska,41,368,,,
plats,41,369,,,
regler,41,370,,,
område,41,371,,,
uppehållstillstånd,41,372,,,
uppgifter,41,373,,,
frågor,41,374,,,
längre,41,375,,,
polis,41,376,,,
